SourceName,TargetName,Weight
1970s,Drama,2
adolescence,Adventure,2
airplane,Action,2
alcohol,Comedy,5
american football,Comedy,3
american football,Drama,4
android,Comedy,2
anti terror,Drama,2
assassin,Action,8
assassination,Action,2
assassination,Thriller,2
baby,Comedy,3
bank,Action,3
baseball,Drama,4
based on novel,Action,5
based on novel,Adventure,6
based on novel,Comedy,6
based on novel,Crime,2
based on novel,Drama,14
based on novel,Family,3
based on novel,Fantasy,2
based on novel,Mystery,2
based on novel,Romance,3
beach,Comedy,2
beach,Drama,2
becoming an adult,Comedy,3
biography,Crime,2
biography,Drama,6
bomb,Action,2
bounty hunter,Action,2
brother brother relationship,Drama,2
budapest,Fantasy,2
california,Action,2
california,Comedy,2
car race,Action,4
car race,Animation,2
christian,Drama,2
cia,Action,3
cia,Drama,2
cia,Thriller,2
classroom,Comedy,2
climate change,Documentary,2
clone,Action,2
comedian,Comedy,2
competition,Adventure,2
competition,Comedy,3
competition,Drama,2
corruption,Action,6
corruption,Adventure,2
corruption,Crime,3
corruption,Documentary,2
corruption,Drama,3
dancing,Drama,6
date,Comedy,2
date,Drama,2
dc comics,Action,4
detective,Action,3
dream,Drama,2
duringcreditsstinger,Comedy,2
duringcreditsstinger,Drama,4
dystopia,Action,8
elves,Adventure,4
england,Drama,3
exotic island,Adventure,2
father,Drama,2
father son relationship,Action,2
father son relationship,Adventure,2
father son relationship,Animation,2
father son relationship,Comedy,3
father son relationship,Drama,3
father son relationship,Fantasy,2
female nudity,Action,2
female nudity,Drama,3
female nudity,Horror,2
fight,Comedy,2
flying,Fantasy,2
gay,Comedy,2
gay,Drama,4
gay,History,2
great britain,Drama,2
haunted house,Horror,3
hawaii,Comedy,2
heist,Action,2
high school,Comedy,2
himalaya,Action,2
holiday,Comedy,3
holiday,Drama,3
horse race,Drama,2
hostage,Animation,2
hotel,Drama,2
hunter,Adventure,2
ice,Horror,2
independent film,Comedy,4
independent film,Drama,3
individual,Drama,6
infidelity,Comedy,2
italy,Comedy,2
japan,Action,2
japanese,Comedy,2
jealousy,Comedy,3
journalist,Comedy,2
kidnapping,Thriller,2
london england,Action,7
london england,Adventure,10
london england,Comedy,4
london england,Drama,6
london england,Romance,2
london england,Thriller,2
loss of son,Drama,2
lovesickness,Comedy,2
magic,Adventure,3
male nudity,Comedy,3
male nudity,Drama,5
martial arts,Action,2
marvel comic,Action,3
mexico,Comedy,2
monster,Animation,2
mother,Comedy,2
mountains,Adventure,2
musical,Comedy,2
musical,Drama,3
new jersey,Comedy,2
new york,Action,2
new york,Comedy,6
new york,Crime,2
new york,Drama,4
ocean,Adventure,2
ocean,Animation,2
owl,Animation,2
paris,Action,6
paris,Adventure,3
paris,Comedy,2
paris,Drama,2
philosophy,Drama,2
poison,Action,2
poison,Fantasy,2
police,Action,2
pop,Comedy,2
pornography,Comedy,2
prison,Action,2
prison,Comedy,2
prison,Drama,6
prophecy,Adventure,2
rape,Crime,3
rape,Drama,2
rebel,Adventure,2
remake,Horror,2
riddle,Adventure,3
river,Horror,2
rock and roll,Drama,2
romantic comedy,Comedy,2
saving the world,Action,7
saving the world,Adventure,5
saving the world,Comedy,2
saving the world,Drama,2
saving the world,Science Fiction,2
sea,Animation,2
secret,Drama,2
secret identity,Action,4
sex,Comedy,7
sex,Drama,3
sexuality,Comedy,2
shakespeare,Drama,2
sheriff,Action,2
sheriff,Horror,2
shyness,Romance,2
sister sister relationship,Drama,2
slum,Drama,2
southern usa,Drama,3
sport,Comedy,2
spy,Action,4
stand-up comedy,Comedy,2
street gang,Action,2
submarine,Action,4
suicide,Action,3
suicide,Comedy,5
suicide,Drama,3
suicide,Horror,4
suicide,Thriller,2
sunrise,Horror,2
terror,Action,2
terror,Drama,2
terrorist,Action,2
terrorist,Comedy,2
undercover,Action,2
undercover,Crime,2
undercover,Drama,2
underdog,Drama,3
upper class,Comedy,2
usa,Documentary,2
usa,Drama,3
vampire,Action,2
venice,Action,3
video game,Action,2
virtual reality,Drama,2
waitress,Drama,2
washington d.c.,Action,2
washington d.c.,Comedy,2
wife husband relationship,Comedy,4
witch,Adventure,5
witch,Comedy,2
witch,Fantasy,4
witch,Horror,3
woman director,Documentary,2
woman director,Thriller,2
world war ii,Drama,3
