countries,count,popular,re,vote,latitude,longitude
Czech Republic,3,39.32336833333333,334390679.0,5.733333333333333,50.069691,14.434859
Iceland,2,54.13985600000001,169493805.0,6.9,64.829116,-18.419071
Bulgaria,1,61.849520999999996,205754447.0,5.8,42.393291999999995,25.265078
Malta,1,42.526529,69411370.0,7.0,35.887349,14.450028
Bosnia and Herzegovina,1,8.048305000000001,0.0,6.6,44.164433,17.887725
Russia,1,2.625594,0.0,6.4,61.913302,99.05301899999999
Finland,2,31.4572765,185464186.0,6.1,61.962312,26.284470000000002
Italy,4,46.88651925,202223352.5,6.8,42.978489,12.494752
China,14,41.41910042857143,257566427.42857143,6.528571428571429,34.281433,103.83689
Thailand,1,9.029489,8936663.0,6.0,15.351779999999998,100.942208
Hong Kong,3,31.193518333333333,111312807.0,6.8999999999999995,22.336438,114.16598799999998
Austria,2,23.810592,50059891.0,7.0,47.514236,14.208853
United Arab Emirates,5,27.0054166,67674314.8,5.8,23.720126999999998,54.066931999999994
Bahamas,1,31.035999999999998,141195658.0,6.5,24.66982,-78.04283199999999
Belgium,6,14.952354833333331,34343754.333333336,6.5,50.473945,4.638962
Netherlands,2,15.633466,88894744.5,6.5,52.155629,5.623968
South Korea,3,36.322933666666664,66350621.0,6.933333333333334,36.327798,127.809925
Bolivia,1,5.223096,623528.0,6.6,-16.885539,-64.584585
Switzerland,2,33.5747915,13824576.5,5.7,46.750057,7.924886
Brazil,3,27.524932999999994,13142029.333333334,7.133333333333333,-8.816339,-53.414451
Ecuador,1,3.027892,0.0,6.9,-1.526961,-78.42504
South Africa,5,17.1230866,15621017.6,6.3,-31.153215000000003,24.355570999999998
Spain,18,34.78380344444443,77027896.16666667,6.472222222222221,39.45751,-3.356272
Bhutan,1,0.749699,0.0,6.8,27.398449,90.460279
Mexico,7,25.043828571428573,40894532.571428575,6.442857142857143,23.900418,-102.502239
Indonesia,1,40.285095,4105187.0,7.3,-3.939802,122.210544
Australia,25,43.109308359999986,139297900.32,6.3039999999999985,-25.204181,134.37446200000002
India,7,31.80161585714286,157674395.14285713,6.985714285714287,22.593675,79.63223599999999
Jamaica,2,97.37446050000003,562629906.0,6.95,18.140501,-77.315598
Japan,9,35.521312555555554,237758818.66666666,6.788888888888888,36.419038,138.33983
Denmark,3,16.413292000000002,592566.3333333334,6.633333333333333,55.610099,9.44788
New Zealand,13,65.98012638461539,502254977.38461536,7.046153846153847,-42.764362,172.062874
Canada,66,39.682331969696975,113673468.42424242,6.121212121212121,57.40586,-103.587633
Norway,3,23.946376,79587256.66666667,6.666666666666667,61.763256000000005,9.275896000000001
France,46,29.505207043478258,80042291.95652173,6.430434782608696,46.590407,2.426822
Germany,56,36.15760133928571,131022194.625,6.389285714285712,51.008390999999996,10.319921
Greece,2,17.3230645,10282736.5,6.25,39.447109999999995,22.331959
Iran,1,7.072118,900000.0,7.8,31.994039,54.266553
United Kingdom,131,41.01457738167941,183121205.0,6.658778625954195,54.782666000000006,-2.611128
Ireland,9,14.314785333333337,14733265.222222222,5.7333333333333325,53.210581000000005,-7.908002000000001
United States of America,943,37.90225363520681,172489244.5843054,6.253022269353125,39.707054,-101.392354
